job_year,job_education
1164,2年经验,本科
1165,2年经验,本科
1166,2年经验,本科
1167,3-4年经验,大专
1168,1年经验,本科
1169,3-4年经验,本科
1170,在校生/应届生,高中
1171,1年经验,本科
1172,无需经验,大专
1173,1年经验,本科
1174,3-4年经验,大专
1175,5-7年经验,大专
1176,2年经验,本科
1177,3-4年经验,本科
1178,2年经验,本科
1179,3-4年经验,本科
1180,本科,无学历要求
1181,2年经验,本科
1182,2年经验,本科
1183,3-4年经验,本科
1184,2年经验,大专
1185,在校生/应届生,本科
1186,3-4年经验,本科
1187,1年经验,高中
1188,1年经验,中技
1189,在校生/应届生,大专
1190,5-7年经验,本科
1191,3-4年经验,本科
1192,在校生/应届生,本科
1193,2年经验,高中
1194,3-4年经验,本科
1195,8-9年经验,硕士
1196,1年经验,本科
1197,1年经验,本科
1198,1年经验,本科
1199,1年经验,大专
1200,5-7年经验,大专
1201,5-7年经验,本科
1202,1年经验,大专
1203,1年经验,大专
1204,2年经验,本科
1205,无需经验,大专
1206,在校生/应届生,本科
1207,2年经验,本科
1208,2年经验,本科
1209,1年经验,高中
1210,2年经验,大专
1211,5-7年经验,本科
1212,在校生/应届生,本科
1213,3-4年经验,本科
1214,在校生/应届生,大专
1215,3-4年经验,高中
1216,2年经验,高中
1217,1年经验,本科
1218,1年经验,本科
1219,1年经验,大专
1220,3-4年经验,大专
1221,在校生/应届生,大专
1222,2年经验,大专
1223,3-4年经验,本科
1224,1年经验,本科
